Genes,GLC01,A549,BEAS,NCI-H23,CALU-3
RL27A_HUMAN,11.89536471,12.19211273,10.52822675,11.40682044,11.36073959
MMP3_HUMAN,-0.340850857,-0.340850857,-0.340850857,-0.340850857,-0.340850857
DCNL5_HUMAN,5.261562663,4.639843612,5.599370569,5.164832518,4.514482123
DYHC2_HUMAN,4.35520799,6.023139584,6.507113673,5.538424513,4.775374927
PTSS2_HUMAN,4.181591424,3.774023058,3.412621839,3.681163231,3.169817739
MTNB_HUMAN,4.146640733,4.088249148,3.94960798,2.93824421,4.266935413
ODPX_HUMAN,5.976566343,5.639427003,5.754067873,5.956899849,5.764846649
SYT13_HUMAN,5.774908079,1.120904642,-0.340850857,-0.340850857,5.535251907
PIDD1_HUMAN,1.087356044,2.142661377,2.437675772,1.925529418,0.936835758
BACE1_HUMAN,3.933905226,4.171441737,5.644615031,3.062693887,4.588115006
RSF1_HUMAN,6.91670128,7.881411999,8.034883862,8.920004712,8.088810291
ATS15_HUMAN,1.426465163,3.281613479,2.28808092,0.229670196,-0.137246653
TMM80_HUMAN,3.52167619,3.508905884,3.562329549,2.852244511,3.370872208
CHK1_HUMAN,6.135791267,5.818977697,6.989912031,6.267640146,5.254678002
IRAG1_HUMAN,-0.340850857,-0.340850857,-0.176915927,-0.124300497,-0.340850857
RIC8A_HUMAN,6.334445044,6.100927627,6.796132175,6.288240411,5.992074505
GPT_HUMAN,5.947091108,5.354478458,5.005112482,5.333663492,4.701927273
RHG20_HUMAN,-0.340850857,-0.340850857,3.74920733,-0.340850857,-0.340850857
NTRI_HUMAN,-0.340850857,-0.340850857,-0.340850857,-0.124300497,-0.340850857
NFRKB_HUMAN,4.273201542,3.545790279,4.839239456,5.174279868,4.456421995
AMRA1_HUMAN,3.785930973,4.176311811,4.150371335,3.616872131,4.4828076
TBCEL_HUMAN,3.414360408,3.26203898,4.684714942,3.264018979,0.282783782
DKK3_HUMAN,0.214320456,4.478332016,3.113096691,1.220442511,3.261715752
TPH1_HUMAN,1.005128084,0.313732736,0.620428471,1.723275625,0.82656194
GRM5_HUMAN,-0.340850857,0.034729611,-0.340850857,0.095614526,5.048819059
ATG13_HUMAN,3.975559146,3.861403194,3.554674875,3.398952567,3.725701122
MICA2_HUMAN,3.696408676,4.813961803,4.472849485,3.221062344,5.522602452
TM218_HUMAN,4.943879801,4.343857619,4.447718137,4.503360966,3.159874217
SOX6_HUMAN,0.947737936,0.034729611,-0.176915927,0.095614526,4.742242263
SO2B1_HUMAN,2.746371295,3.307332173,-0.340850857,-0.115236367,-0.125928928
ARRB1_HUMAN,3.967833603,0.842944758,0.461326223,2.969496353,2.636108002
KLH35_HUMAN,0.470291086,0.554962639,0.862822009,3.120911472,1.697381806
CDON_HUMAN,1.814947396,2.979825895,4.140894091,3.626433851,3.362380499
RS13_HUMAN,9.632336596,9.771126237,8.151781907,9.055069566,9.192159378
P3C2A_HUMAN,6.480621655,6.268609857,7.360848089,6.225924535,7.354459825
DNJC4_HUMAN,2.007273985,2.302967732,1.933841231,1.963594887,2.56138893
MED19_HUMAN,5.41791537,5.027568079,5.730206762,4.977068978,5.524395841
TMM25_HUMAN,-0.340850857,0.17321979,4.127706252,1.680125716,2.831169624
IFT46_HUMAN,4.466485355,4.18902252,5.362203466,3.316557855,3.819985683
KMT2A_HUMAN,5.256975014,5.860632978,7.183283714,7.285452109,6.080543459
PF21A_HUMAN,5.148121653,5.429418865,4.481865753,5.115647115,4.445776107
MEN1_HUMAN,5.673557168,5.500648403,5.343902138,5.673886915,5.38626216
ZNRD2_HUMAN,2.352296665,2.344666102,1.497970159,1.722233539,2.546239734
LRA25_HUMAN,3.793660255,3.774661204,2.266335689,3.382151661,3.193053939
EH1L1_HUMAN,3.71125529,3.471462068,2.294040263,2.907672812,3.385835437
M3K11_HUMAN,3.753270225,3.184518052,2.734987269,2.950597593,3.872605202
PCX3_HUMAN,2.235101982,1.625540272,1.3945164,0.759983243,2.026657582
SIPA1_HUMAN,2.223335994,2.189725271,2.317594379,3.154282444,2.543669872
LTBP3_HUMAN,4.640720984,4.82046199,2.998595384,3.848843231,5.043367445
FADD_HUMAN,5.472852302,4.933244286,3.784026352,6.250893706,5.337188866
ANO1_HUMAN,-0.142594238,-0.149017584,-0.183183322,0.458250404,2.750906008
PCSK7_HUMAN,2.823712993,2.239751291,3.54127761,3.533559041,3.259751814
DDX6_HUMAN,8.78686718,8.680495552,9.55553324,9.061838586,8.084877343
CBPC2_HUMAN,0.41104773,2.569325127,0.698959197,1.633658022,1.02619502
COPD_HUMAN,5.903148396,5.341200976,6.030309112,5.783363111,5.67337458
HIKES_HUMAN,4.900659406,4.268833532,4.745299759,4.149327532,4.251537348
VWCE_HUMAN,-0.340850857,-0.340850857,-0.183183322,-0.129999964,-0.340850857
NUMA1_HUMAN,6.941807064,7.170538982,6.94800545,7.192256088,6.686142167
BIRC2_HUMAN,6.342492323,6.144949026,7.24062754,7.704485322,5.889862815
ASTRB_HUMAN,5.597579303,4.305079856,0.659016808,7.21097427,3.89019188
ES8L2_HUMAN,5.41973685,4.526445822,4.492725107,2.677829672,5.95667342
