Genes,ccd,ccd,ccd
CXB4_HUMAN,-0.340850857,-0.340850857,-0.340850857
TM125_HUMAN,-0.340850857,-0.340850857,-0.340850857
DMTA2_HUMAN,-0.340850857,-0.340850857,-0.340850857
ZEP3_HUMAN,1.731456765,1.302030179,1.773938675
TM2D1_HUMAN,8.211893408,8.240801374,8.236105828
SCP2_HUMAN,8.581120456,8.657893766,8.835122354
BCAR3_HUMAN,5.037803583,5.135505332,5.091977123
DMAP1_HUMAN,2.74316339,2.316153655,2.792212717
SAHH2_HUMAN,9.226320676,8.981053394,9.142072115
CNN3_HUMAN,7.596722908,7.66964649,7.891877736
VAV3_HUMAN,0.276696563,-0.340850857,-0.340850857
DPYD_HUMAN,3.919551258,4.872072638,4.088284418
TLCD4_HUMAN,0.276696563,1.03330744,1.346588607
LRC8D_HUMAN,5.494512272,5.16949897,5.549041091
S1PR1_HUMAN,4.335877864,4.167552857,4.088284418
ELAP1_HUMAN,1.308561741,1.03330744,1.073627923
RHG29_HUMAN,6.948900923,6.924510723,6.948791696
PGM1_HUMAN,5.560477506,5.471521566,5.407209954
COA7_HUMAN,4.176730561,4.32665626,4.586391545
OLFL3_HUMAN,3.878761874,4.026290794,3.93131984
GSH0_HUMAN,8.205722513,8.152199458,8.045796459
TGBR3_HUMAN,6.020360186,5.923934421,5.86338164
SZT2_HUMAN,3.138254159,2.905793422,2.596971191
PHTF1_HUMAN,5.228428475,4.57513443,5.073313548
TF_HUMAN,10.88337327,10.94604083,11.03359659
VCAM1_HUMAN,6.029705809,6.416784052,5.819259463
RWDD3_HUMAN,1.039210356,0.70280457,1.073627923
MA1A2_HUMAN,8.463638491,8.410307909,8.404211549
LPAR3_HUMAN,5.695785014,5.58921461,5.702662758
CT2NL_HUMAN,7.346753333,7.204134736,7.149222329
STRP1_HUMAN,6.237557379,6.465485077,6.363320006
SCMC1_HUMAN,6.934046622,7.01610009,7.071418101
TSN2_HUMAN,2.649276492,3.69397594,3.383215487
LRIG2_HUMAN,3.448080482,3.69397594,2.792212717
S35A3_HUMAN,5.819483326,5.852491309,5.726748152
GDE_HUMAN,5.425385745,5.698026389,5.602086782
S6A17_HUMAN,0.276696563,0.273361542,0.736681169
RNPC3_HUMAN,4.506232312,3.910455573,4.448364344
SNX7_HUMAN,6.461249227,6.596203502,6.488337947
ZNT7_HUMAN,5.962978254,6.298877839,5.937490247
SC22B_HUMAN,7.26206195,6.992555681,7.052484893
FPRP_HUMAN,2.058078915,2.432711588,1.773938675
SPF27_HUMAN,5.425385745,5.471521566,5.690467576
ZN326_HUMAN,5.71907889,6.145068474,5.773745205
TRI45_HUMAN,2.74316339,1.896423676,1.346588607
VANG1_HUMAN,5.00026634,5.028436953,4.872058478
TET5C_HUMAN,5.707478964,5.563877789,5.640629075
PI51A_HUMAN,6.05738484,6.092880786,6.324389248
GDAP2_HUMAN,4.242510731,4.649281818,4.263153899
WDR3_HUMAN,5.623557992,5.551040538,5.407209954
S22AF_HUMAN,1.535449415,2.189344518,1.947944625
SCNM1_HUMAN,4.335877864,4.414324272,4.612480248
FILA_HUMAN,-0.340850857,-0.340850857,-0.340850857
TRI33_HUMAN,6.001485334,6.538840999,6.112221778
CC14A_HUMAN,1.731456765,1.896423676,2.792212717
