Compounds,GLC01,A549,BEAS,NCI-H23,CALU-3
7_6_3_1,0.096666667,0.323333333,0.316666667,0.036666667,0.35
8_7_2_2,0.02,0,0.116666667,0,0.026666667
9_8_1_3,0.09,0.066666667,0.163333333,0.093333333,0.013333333
9_8_3_2,0.033333333,0,0.263333333,0,0
9_8_4_3,0.056666667,0,0.013333333,0.02,0
7_6_1_3,0.436666667,0.453333333,2.166666667,1.106666667,0.17
6_5_1_4,0.006666667,0,0,0,0
5_5_3_2,0.003333333,0,0,0,0.003333333
8_8_1_5,0.006666667,0,0,0,0
4_5_1_1,0.02,0.003333333,0.03,0,0.093333333
8_7_2_1,0.07,0,0.036666667,0.053333333,0.17
4_4_2_1,0.01,0,0.103333333,0.026666667,0.003333333
7_6_3_3,0.076666667,0.04,0.036666667,0,0.016666667
7_6_3_2,0.003333333,0.086666667,0.023333333,0.123333333,0.113333333
7_6_4_1,0.01,0,0.09,0.043333333,0.03
6_5_4_3,0.02,0.063333333,0,0,0.003333333
9_8_3_1,0.033333333,0.073333333,0.063333333,0,0.023333333
7_6_4_3,0.053333333,0,0,0,0.003333333
6_5_2_3,0.003333333,0,0.01,0,0.003333333
9_8_2_2,0.006666667,0,0.106666667,0,0
8_7_1_3,0.006666667,0.043333333,0.19,0.143333333,0.036666667
9_8_6_2,0.01,0.06,0.006666667,0,0.026666667
4_5_1_2,0,0,0,0,0
4_7_3_1,0.003333333,0,0,0,0
7_7_4_1,0.003333333,0,0,0,0.186666667
4_4_3_1,0.01,0,0.013333333,0.006666667,0.003333333
8_7_4_3,0.113333333,0.026666667,0.043333333,0,0.03
5_6_2_1,0.003333333,0,0,0,0.046666667
9_8_6_3,0.02,0,0.06,0,0
4_5_4_1,0.006666667,0,0,0,0.006666667
6_5_4_2,0,0.046666667,0,0.01,0
6_6_1_3,0,0.003333333,0.016666667,0,0.063333333
8_7_5_2,0,0.036666667,0,0,0
6_6_4_1,0,0.006666667,0,0,0.066666667
8_7_5_1,0,0.01,0,0,0
6_7_4_1,0,0.026666667,0,0,0.01
6_6_4_2,0,0.013333333,0,0,0.006666667
4_6_2_1,0,0,0.003333333,0,0.04
7_6_5_1,0,0,0.01,0,0
8_7_4_1,0,0,0.023333333,0,0.083333333
5_7_2_2,0,0,0.016666667,0.016666667,0
7_6_5_3,0,0,0.06,0,0
8_7_6_3,0,0.066666667,0.163333333,0,0
7_7_1_2,0,0.006666667,0,0.013333333,0.583333333
6_6_3_2,0,0.006666667,0,0,0.056666667
9_8_4_1,0,0,0.01,0,0.006666667
8_7_3_1,0,0,0.053333333,0.25,0.233333333
7_6_4_4,0,0.026666667,0.066666667,0.036666667,0
7_6_1_4,0,0,0.053333333,0.013333333,0.006666667
7_7_1_1,0,0.01,0,0.023333333,2.126666667
6_6_1_2,0,0.02,0.003333333,0.053333333,1.033333333
8_7_4_2,0,0.003333333,0,0.026666667,0.016666667
7_6_3_4,0,0.016666667,0,0,0
4_6_1_1,0,0,0.003333333,0,0.01
4_5_3_1,0,0,0.016666667,0.006666667,0.006666667
7_6_2_3,0,0,0.013333333,0,0
8_7_4_4,0,0,0.066666667,0,0.01
4_5_2_1,0,0,0,0,0.11
6_6_3_1,0,0,0,0.043333333,0.736666667
6_7_3_1,0,0,0,0,0.073333333
6_6_2_1,0,0,0,0,1.873333333
6_7_2_1,0,0,0,0,0.14
7_7_2_1,0,0,0,0,0.866666667
6_7_1_1,0,0,0,0,0.156666667
5_6_1_2,0,0,0,0,0.033333333
8_8_2_1,0,0,0,0,0.096666667
8_8_1_1,0,0,0,0,0.496666667
7_7_3_1,0,0,0,0,0.153333333
6_6_2_2,0,0,0,0,0.456666667
8_8_4_1,0,0,0,0,0.056666667
8_8_4_2,0,0,0,0,0.01
7_7_2_2,0,0,0,0,0.103333333
8_8_1_2,0,0,0,0,0.09
9_9_1_1,0,0,0,0,0.063333333
7_7_1_3,0,0,0,0.013333333,0.15
9_9_1_3,0,0,0,0,0.02
8_8_1_3,0,0,0,0,0.053333333
4_3_2_1,0,0,0,0.01,0.003333333
9_8_4_2,0,0,0,0.03,0
5_6_3_1,0,0,0,0,0.016666667
5_6_5_1,0,0,0,0,0.01
9_9_2_1,0,0,0,0,0.046666667
5_7_2_1,0,0,0,0,0.003333333
6_7_5_1,0,0,0,0,0.01
5_5_4_2,0,0,0,0,0.003333333
8_8_6_1,0,0,0,0,0.006666667
7_7_3_2,0,0,0,0,0.04
7_7_1_4,0,0,0,0,0.003333333
8_8_3_2,0,0,0,0,0.003333333
9_9_2_2,0,0,0,0,0.02
9_9_3_1,0,0,0,0,0.006666667
7_7_4_3,0,0,0,0,0.003333333
9_8_2_4,0,0,0,0.016666667,0
5_7_3_1,0,0,0,0,0.003333333
4_7_1_1,0,0,0,0,0.006666667
6_7_2_2,0,0,0,0,0.013333333
8_8_5_1,0,0,0,0,0.003333333
6_7_1_2,0,0,0,0,0.03
8_8_3_1,0,0,0,0,0.036666667
8_7_6_4,0,0,0,0,0.003333333
8_8_2_2,0,0,0,0,0.106666667
6_6_3_3,0,0,0,0,0.006666667
3_6_2_1,0,0,0,0,0.006666667
5_7_1_2,0,0,0,0.013333333,0
4_3_0_0,0.726666667,0.466666667,0.486666667,0.556666667,0.1
5_4_0_0,2.956666667,2.366666667,1.55,1.866666667,0.543333333
4_4_0_0,0.026666667,0.02,0.056666667,0.133333333,0.16
6_5_0_0,1.08,0.78,0.746666667,0.776666667,0.483333333
5_5_0_0,0.046666667,0.096666667,0.003333333,0.086666667,0.773333333
4_5_0_0,0,0.003333333,0.01,0.083333333,0.053333333
5_5_1_0,0.246666667,0.283333333,0.04,0.333333333,3.926666667
5_4_1_0,5.233333333,3.79,2.243333333,3.306666667,0.956666667
4_4_2_0,0.086666667,0.053333333,0.05,0.1,0.203333333
5_4_3_0,0.153333333,0.076666667,0.15,0.23,0.536666667
4_5_2_0,0.016666667,0.003333333,0.026666667,0.033333333,0.156666667
5_4_2_0,0.923333333,0.673333333,1.233333333,0.676666667,0.803333333
4_3_1_0,0.793333333,0.62,0.413333333,0.633333333,0.166666667
4_4_1_0,0.246666667,0.066666667,0.206666667,0.26,0.546666667
